POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
612-24120,-,0,Grey,SS,N,N,SFMTA,ON,0,2412,POLK ST,10580000,Area 3, ,"(37.799112, -122.422329)"
444-12160,-,0,Yellow,SS,N,N,SFMTA,ON,0,1216,GRANT AVE,6402000,Area 3, ,"(37.798684, -122.407135)"
419-01050,-,0,Grey,SS,Y,Y,SFMTA,ON,0,105,FRANKLIN ST,5798000,Area 5,Civic Center,"(37.77549, -122.421099)"
563-05360,-,0,Grey,SS,Y,Y,SFMTA,ON,0,536,MCALLISTER ST,8895000,Area 5,Civic Center,"(37.779996, -122.421543)"
446-02180,-,0,Grey,SS,N,Y,SFMTA,ON,0,218,GROVE ST,6555000,Area 5,Civic Center,"(37.778188, -122.42077)"
331-06630,-,0,Grey,SS,Y,N,SFMTA,ON,0,663,BRYANT ST,3285000,Area 5,South Embarcadero,"(37.778273, -122.399538)"
224-40160,-,0,Grey,SS,Y,N,SFMTA,ON,0,4016,24TH ST,1362000,Area 3, ,"(37.751441, -122.432555)"
224-40180,-,0,Grey,SS,Y,N,SFMTA,ON,0,4018,24TH ST,1362000,Area 3, ,"(37.751437, -122.43262)"
360-09260,-,0,Grey,SS,N,Y,SFMTA,ON,0,926,CLEMENT ST,4159000,Area 3, ,"(37.782796, -122.469343)"
125-12960,-,0,Grey,SS,N,N,SFMTA,ON,0,1296,25TH AVE,1381000,Area 3, ,"(37.763494, -122.483499)"
224-40260,-,0,Grey,SS,Y,N,SFMTA,ON,0,4026,24TH ST,1362000,Area 3, ,"(37.751423, -122.432856)"
224-40330,-,0,Grey,SS,Y,N,SFMTA,ON,0,4033,24TH ST,1362000,Area 3, ,"(37.751308, -122.432939)"
831-04540,831-04006,54,Grey,MS,N,Y,PORT,ON,0,454,EMBARCADERO SOUTH,12549101,Port 7, ,"(37.788039, -122.388092)"
831-05280,831-05004,28,Grey,MS,N,Y,PORT,ON,0,528,EMBARCADERO SOUTH,12548101,Port 9, ,"(37.786214, -122.388142)"
831-05480,831-05006,48,Grey,MS,N,Y,PORT,ON,0,548,EMBARCADERO SOUTH,12548101,Port 9, ,"(37.785642, -122.388188)"
360-11220,-,0,Grey,SS,N,N,SFMTA,ON,0,1122,CLEMENT ST,4161000,Area 3, ,"(37.782701, -122.471402)"
360-21420,-,0,Grey,SS,N,N,SFMTA,ON,0,2142,CLEMENT ST,4172000,Area 3, ,"(37.78219, -122.482557)"
360-22130,-,0,Grey,SS,N,N,SFMTA,ON,0,2213,CLEMENT ST,4173000,Area 3, ,"(37.782026, -122.483245)"
826-06320,826-06002,32,Grey,MS,N,Y,PORT,ON,0,632,DELANCEY ST,117000,Port 10, ,"(37.783326, -122.389646)"
826-06520,826-06002,52,Grey,MS,N,Y,PORT,ON,0,652,DELANCEY ST,117000,Port 10, ,"(37.783113, -122.389374)"
826-06680,826-06002,68,Grey,MS,N,Y,PORT,ON,0,668,DELANCEY ST,117000,Port 10, ,"(37.782946, -122.389163)"
360-18060,-,0,Grey,SS,N,N,SFMTA,ON,0,1806,CLEMENT ST,4169000,Area 3, ,"(37.782368, -122.478711)"
